uid,Day,Month,Year,Time,Creek Water Temperature,Species,Salmon Spawn,Lat,Long,County,State,Species,Tree Growth
483508,8,Mar-94,2011,12:00 PM,99.7,99.7,107.1,32.89481,-96.933173,606 EAST ROYAL LN IRVING TX 75039 ,NJ        ,,70
,8,Apr-94,2011,12:00 PM,103.4,103.4,104.2,39.044057,-77.1723317,11300 GAINSBOROUGH RD POTOMAC MD 20854 ,NY        ,,68
,8,May-94,2011,12:00 PM,109.9,109.9,102.9,32.308047,-111.017418,2325 WEST SUNSET RD TUCSON AZ 85741 ,PA        ,,70
,8,Jun-94,2011,12:00 PM,110.7,110.7,100.3,26.1557503,-97.9400371,900 MED HIGH DR MERCEDES TX 78570 ,U         ,,1
,8,Jul-94,2011,12:00 PM,108.5,108.5,93.2,30.025146,-90.06551,2001 LEON C. SIMON DR NEW ORLEANS LA 70122 ,U         ,,1
,8,Aug-94,2011,12:00 PM,118.3,118.3,95.2,29.735497,-95.328119,1315 DUMBLE HOUSTON TX 77023 ,U         ,,71
,8,Sep-94,2011,12:00 PM,130,130,100.1,42.3381855,-71.1020029,78 AVE LOUIS PASTEUR BOSTON MA 02115 ,U         ,,70
,8,Oct-94,2011,12:00 PM,127.4,127.4,102.2,39.991309,-105.081117,800 MERLIN DR LAFAYETTE CO 80026 ,U         ,,1
,8,Nov-94,,12:00 PM,142.6,142.6,101.2,38.9815919,-77.1274356,7100 WHITTIER BLVD BETHESDA MD 20817 ,U         ,,1
,8,Dec-94,,12:00 PM,142.7,142.7,103.5,25.886055,-97.42489,2800 SOUTH DAKOTA AVE BROWNSVILLE TX 78521 ,U         ,,1
,8,Jan-95,,12:00 PM,133.3,133.3,103.9,40.9740505,-73.6863752,PARSONS ST RYE NY 10580 ,U         ,,2
,8,Feb-95,,12:00 PM,133.4,133.4,103.1,43.0889717,-77.5219378,55 SUTHERLAND ST PITTSFORD NY 14534 ,U         ,,2
,8,Mar-95,,12:00 PM,135.7,135.7,102.6,40.7009286,-73.7983153,9450 159TH ST JAMAICA NY 11451 ,VA        ,,2
,8,Apr-95,,12:00 PM,125.4,125.4,103.5,39.12141,-94.629517,1610 NORTH 8TH ST KANSAS CITY KS 66101 ,NJ        ,,74
,7,May-95,,12:00 PM,123.4,123.4,107.7,29.669357,-95.56626,10711 KIPP WAY HOUSTON TX 77099 ,PA        ,,80
,7,Jun-95,,12:00 PM,128.9,128.9,113.7,29.605588,-95.443232,4411 ANDERSON RD HOUSTON TX 77053 ,PA        ,,78
,7,Jul-95,,12:00 PM,134.2,134.2,121.9,26.708614,-80.059802,501 SOUTH SAPODILLA AVE WEST PALM BEACH FL 33401 ,PA        ,,1
,6,Aug-95,,12:00 PM,128.2,128.2,119.6,30.3124,-97.655811,7309 LAZY CREEK DR AUSTIN TX 78724 ,VA        ,,1
,6,Sep-95,,12:00 PM,123.3,123.3,124.6,40.688872,-73.976438,29 FT GREENE PLACE BROOKLYN NY 11217 ,U         ,,71
,6,Oct-95,,12:00 PM,129,129,131.3,45.530138,-122.2956524,35800 EAST HIST COLUMBIA RIVER CORBETT OR 97019 ,U         ,,77
,6,Nov-95,,12:00 PM,127.5,127.5,131.7,43.0611217,-77.5197121,472 MENDON RD PITTSFORD NY 14534 ,U         ,,77
,6,Dec-95,,,122,122,135.3,40.86427,-124.075696,251 BAYSIDE RD ARCATA CA 95521 ,NY        ,,1
,6,Jan-96,,,114.6,114.6,136.7,40.8615644,-74.0584168,504ROUTE 46 WEST TETERBORO NJ 07608 ,U         ,,70
,6,Feb-96,,,111.6,111.6,140.3,40.799791,-73.5495506,99 CEDAR SWAMP RD JERICHO NY 11753 ,U         ,,72
,6,Mar-96,,,110.9,110.9,142.8,33.759251,-84.266892,1192 CLARENDON AVE AVONDALE ESTATES GA 30002 ,U         ,,75
,6,Apr-96,,,119.4,119.4,156.5,39.963419,-75.1657196,1699 SPRING GARDEN ST PHILADELPHIA PA 19130 ,MA        ,,74
,6,May-96,,,119.4,119.4,164.3,35.199664,-111.605998,3300 WEST SPARROW AVE FLAGSTAFF AZ 86004 ,NJ        ,,75
,6,Jun-96,,,112.5,112.5,155.3,40.9260086,-73.885915,150 ROCKLAND AVE YONKERS NY 10705 ,NJ        ,,73
,6,Jul-96,,,108.1,108.1,150,37.5442976,-121.933798,41717 PALM AVE FREMONT CA 94539 ,U         ,,72
,6,Aug-96,,,112.6,112.6,142.1,41.0293965,-73.6708081,840 KING ST RYE BROOK NY 10573 ,U         ,,2
,6,Sep-96,,,116,116,124.2,33.4733553,-81.974912,615 12TH ST AUGUSTA GA 30901 ,U         ,,76
,6,Oct-96,,,112.2,112.2,118.3,37.486775,-122.2103,890 BROADWAY REDWOOD CITY CA 94063 ,U         ,,77
,6,Nov-96,,,113.7,113.7,112.2,26.3187742,-98.2335062,14001 NORTH 29TH ST MCALLEN TX 78504 ,U         ,,80
,6,Dec-96,,,114.1,114.1,112.7,38.950822,-77.165587,6520 GEORGETOWN PK MCLEAN VA 22101 ,NY        ,,71
,6,Jan-97,,,115.2,115.2,112.7,41.8742818,-87.6280242,606 SOUTH STATE ST CHICAGO IL 60605 ,U         ,,73
,6,Feb-97,,,116.5,116.5,113.6,40.7635314,-73.7046555,341 LAKEVILLE RD GREAT NECK NY 11020 ,U         ,,2
,6,Mar-97,,,114.4,114.4,117.1,39.1427024,-84.480923,3250 VICTORY PARKWAY CINCINNATI OH 45207 ,U         ,,74
,6,Apr-97,,,115.2,115.2,117.8,26.785676,-80.065066,600 WEST 28TH ST RIVIERA BEACH FL 33404 ,U         ,,1
,6,May-97,,,115.5,115.5,114.4,33.920399,-118.354301,4467 WEST BROADWAY HAWTHORNE CA 90250 ,U         ,,73
,6,Jun-97,,,111.8,111.8,108.2,30.3438748,-81.7235367,3239 NORMAN EAST THAGARD BLVD JACKSONVILLE FL 32254 ,U         ,,73
,6,Jul-97,,,106.2,106.2,103.7,47.5679585,-122.1722352,4333 FACTORIA BLVD SE BELLEVUE WA 98006 ,U         ,,74
,6,Aug-97,,,106.4,106.4,109,33.448386,-112.264489,9419 WEST VAN BUREN ST TOLLESON AZ 85353 ,U         ,,1
,6,Sep-97,,,110.5,110.5,108.3,28.3618584,-80.6954399,180 EAST MERRITT AVE MERRITT ISLAND FL 32953 ,U         ,,1
,6,Oct-97,,,117.7,117.7,109.7,33.8672351,-118.2546498,1000 EAST VICTORIA ST CARSON CA 90747 ,U         ,,1
,6,Nov-97,,,123.8,123.8,107.5,34.0369274,-118.2718877,644 WEST 17TH ST LOS ANGELES CA 90015 ,U         ,,77
,6,Dec-97,,,121.5,121.5,106,25.7390149,-80.166327,3979 RICKENBACKER CAUSEWAY KEY BISCAYNE FL 33149 ,MA        ,,1
,6,Jan-98,,,127.3,127.3,104.8,27.5734834,-99.4350028,5201 UNIVERSITY BLVD LAREDO TX 78041 ,CT        ,,72
,6,Feb-98,,,131,131,104.7,39.235957,,106 PENDERY AVE WYOMING OH 45215 ,NJ        ,,73
,6,Mar-98,,,134.9,134.9,105.2,39.142804,,17501 WILLARD RD POOLESVILLE MD 20837 ,U         ,,76
,5,Apr-98,,,137.2,137.2,101.4,33.7838058,,1111 FIGUEROA  PLACE WILMINGTON CA 90744 ,PA        ,,78
,5,May-98,,,143.3,143.3,100.4,38.8964568,,2500 JAMES MADISON DR VIENNA VA 22181 ,NJ        ,,77
,5,Jun-98,,,131.9,131.9,98.6,32.8463712,,4220 EMERSON AVE DALLAS TX 75205 ,NY        ,,78
,5,Jul-98,,,133.2,133.2,96,40.5627629,,1800 SOUTH LEMAY AVE FORT COLLINS CO 80525 ,NY        ,,79
,5,Aug-98,,,132.8,132.8,90.3,40.9985034,,200 WHITE OAK LN SCARSDALE NY 10583 ,U         ,,73
,5,Sep-98,,,135.6,135.6,89.9,39.0765599,,2100 WOOTTON PARKWAY ROCKVILLE MD 20850 ,NY        ,,78
,5,Oct-98,,,135.7,135.7,96.2,39.078452,,250 RICHARD MONTGOMERY DR ROCKVILLE MD 20852 ,NJ        ,,72
,5,Nov-98,,,135.4,135.4,97.3,38.9265445,,1633 DAVIDSON RD MCLEAN VA 22101 ,VT        ,,70
,5,Dec-98,,,132.1,132.1,95.3,40.7632887,,11 BACON RD OLD WESTBURY NY 11568 ,NJ        ,,70
,5,Jan-99,,,124.7,124.7,95.9,37.3143004,,21840 MCCLELLAN RD CUPERTINO CA 95014 ,VA        ,,71
,5,Feb-99,,,110.9,110.9,92.4,32.7259551,,3434 SOUTH R L THORNTON DALLAS TX 75224 ,PA        ,,74
,5,Mar-99,,,101,101,92.8,26.1557503,,700 MED HIGH DR MERCEDES TX 78570 ,NJ        ,,79
,5,Apr-99,,,105.1,105.1,90.7,34.043574,,5931 WEST 18TH ST LOS ANGELES CA 90035 ,NY        ,,75
,5,May-99,,,100.9,100.9,89.1,36.161865,,613 17TH AVE NORTH NASHVILLE TN 37203 ,NY        ,,77
,5,Jun-99,,,89.3,89.3,,30.300986,,2445 SAN DIEGO RD JACKSONVILLE FL 32207 ,NY        ,,74
,5,Jul-99,,,79.2,79.2,,36.108413,,3155 NORTH COLLEGE AVE FAYETTEVILLE AR 72703 ,PA        ,,75
,5,Aug-99,,,85.4,85.4,,38.8412586,,9525 MAIN ST FAIRFAX VA 22031 ,NY        ,,73
,5,Sep-99,,,88.3,88.3,,40.667228,,140 SHEPHERD ST ROCKVILLE CENTRE NY 11570 ,NJ        ,,71
,5,Oct-99,,,86.5,86.5,,38.8774237,,2900 SUTTON RD VIENNA VA 22181 ,U         ,,71
,5,Nov-99,,,84,84,,30.4285625,,WELLS BRANCH PARKWAY WEST PFLUGERVILLE TX 78660 ,NJ        ,,74
,5,Dec-99,,,81.1,81.1,,40.8672694,,82 TURKEY LN COLD SPRING HARBOR NY 11724 ,FL        ,,74
,5,Jan-00,,,79.5,79.5,,41.174439,,70 ROARING BROOK RD CHAPPAQUA NY 10514 ,NJ        ,,77
,5,Feb-00,,,75.8,75.8,,42.9022605,,186 EAST NORTH ST BUFFALO NY 14204 ,,,76
,5,Mar-00,,,77.7,77.7,,40.7309304,,170 ROCKAWAY AVE GARDEN CITY NY 11530 ,,,74
,5,Apr-00,,,80.2,80.2,,29.6383359,,353 CRENSHAW HOUSTON TX 77034 ,,,70
,5,May-00,,,72.2,72.2,,47.6041425,,10416 WOLVERINE WAY BELLEVUE WA 98004 ,,,71
,5,Jun-00,,,69.3,69.3,,41.87867,,211 SOUTH LAFLIN ST CHICAGO IL 60607 ,,,66
,5,Jul-00,,,69,69,,36.3239469,,128 TOWNSHIP DR HENDERSONVILLE TN 37075 ,,,79
,5,Aug-00,,,67.2,67.2,,38.986537,,4301 EASTWEST HWY BETHESDA MD 20814 ,,,79
,5,Sep-00,,,62,62,,40.770282,,411 EAST 76TH ST NEW YORK NY 10021 ,,,78
,5,Oct-00,,,59,59,,42.3325028,,201 FOREST ST MARLBOROUGH MA 01752 ,,,75
,5,Nov-00,,,60.9,60.9,,37.8678889,,300 MORAGA RD MORAGA CA 94556 ,,,78
,5,Dec-00,,,61.2,61.2,,42.2170567,,9 JUNCTION ST DOVER MA 02030 ,,,78
,5,1-Jan,,,59.7,59.7,,40.7944808,,200 MEMORIAL PLACE MANHASSET NY 11030 ,,,79
,4,1-Feb,,,57.1,57.1,,39.1861678,,6865 DRAKE RD CINCINNATI OH 45243 ,,,84
,4,1-Mar,,,60.8,60.8,,38.641042,,4015 MCPHERSON AVE ST LOUIS MO 63108 ,,,1
,4,1-Apr,,,60.2,60.2,,37.3018475,,1280 JOHNSON AVE SAN JOSE CA 95129 ,,,73
,4,1-May,,,57.6,57.6,,25.6312989,,10101 SW 152ND ST MIAMI FL 33157 ,,,78
,4,1-Jun,,,61.5,61.5,,29.986693,,1416 METAIRIE RD METAIRIE LA 70005 ,,,76
,4,1-Jul,,,75.5,75.5,,42.5178288,,45 CONGRESS ST SALEM MA 01970 ,,,75
,4,1-Aug,,,79.6,79.6,,37.8234908,,800 MAGNOLIA AVE PIEDMONT CA 94611 ,,,73
,4,1-Sep,,,71.8,71.8,,38.8074705,,1832 SOUTH WAHSATCH COLORADO SPRINGS CO 80906 ,,,72
,4,1-Oct,,,68.2,68.2,,32.046004,,500 WASHINGTON AVE SAVANNAH GA 31405 ,,,74
,4,1-Nov,,,75.2,75.2,,34.0642088,,5151 STATE UNIVERSITY DR LOS ANGELES CA 90032 ,,,75
,4,1-Dec,,,78.7,78.7,,30.4564688,,12400 MELLOW MEADOW DR AUSTIN TX 78750 ,,,76
,4,2-Jan,,,77,77,,40.7600443,,100 SHELTER ROCK RD NEW HYDE PARK NY 11040 ,,,76
,4,2-Feb,,,74.7,74.7,,40.5061929,,100 TECHNOLOGY DR EDISON NJ 08837 ,,,73
,4,2-Mar,,,74.5,74.5,,37.266336,,20300 HERRIMAN AVE SARATOGA CA 95070 ,,,72
,4,2-Apr,,,77.2,77.2,,26.3026216,,510 SOUTH SUGAR RD EDINBURG TX 78539 ,,,
,4,2-May,,,81.6,81.6,,42.4971306,,14 MASSACHUSETTS AVE HARVARD MA 01451 ,,,
,4,2-Jun,,,88.4,88.4,,26.1677107,,401 SOUTH 1ST ST DONNA TX 78537 ,,,
,4,2-Jul,,,89.3,89.3,,29.520113,,,,,
,4,2-Aug,,,94.7,94.7,,40.200815,,,,,
,4,2-Sep,,,90.4,90.4,,30.276639,,,,,
,4,2-Oct,,,93.9,93.9,,34.189707,,,,,
,4,2-Nov,,,102.1,102.1,,25.776339,,,,,
,4,2-Dec,,,105.1,105.1,,33.7786231,,,,,
,4,3-Jan,,,102.5,102.5,,40.654475,,,,,
,3,3-Feb,,,99.7,99.7,,37.941249,,,,,
,3,3-Mar,,,95,95,,40.6180489,,,,,
,3,3-Apr,,,95.3,95.3,,39.9628935,,,,,
,3,3-May,,,97.7,97.7,,48.5344802,,,,,
,3,3-Jun,,,99.1,99.1,,40.306662,,,,,
,3,3-Jul,,,94.4,94.4,,42.302802,,,,,
,3,3-Aug,,,92,92,,40.5808957,,,,,
,3,3-Sep,,,96.2,96.2,,39.2174975,,,,,
,3,3-Oct,,,109.2,109.2,,40.7194927,,,,,
,3,3-Nov,,,111.2,111.2,,32.9578306,,,,,
,3,3-Dec,,,115.4,115.4,,40.9928394,,,,,
,3,4-Jan,,,114.8,114.8,,38.2232319,,,,,
,3,4-Feb,,,122.6,122.6,,41.137132,,,,,
,3,4-Mar,,,124.1,124.1,,26.1554262,,,,,
,3,4-Apr,,,123.8,123.8,,34.279944,,,,,
,3,4-May,,,118.1,118.1,,37.8407058,,,,,
,3,4-Jun,,,106.1,106.1,,42.110899,,,,,
,3,4-Jul,,,104.9,104.9,,39.6423058,,,,,
,3,4-Aug,,,106,106,,36.0023944,,,,,
,3,4-Sep,,,106.8,106.8,,42.4338873,,,,,
,3,4-Oct,,,104.9,104.9,,40.214474,,,,,
,3,4-Nov,,,106.6,106.6,,34.126075,,,,,
,3,4-Dec,,,104.8,104.8,,26.065511,,,,,
,3,5-Jan,,,100.2,100.2,,42.187212,,,,,
,3,5-Feb,,,98.6,98.6,,33.6513036,,,,,
,3,5-Mar,,,106.5,106.5,,40.66032,,,,,
,3,5-Apr,,,104,104,,34.200718,,,,,
,3,5-May,,,102.4,102.4,,42.1984838,,,,,
,3,5-Jun,,,103.4,103.4,,32.9590757,,,,,
,3,5-Jul,,,102.9,102.9,,38.6496289,,,,,
,3,5-Aug,,,99.8,99.8,,40.977754,,,,,
,3,5-Sep,,,101.6,101.6,,35.8918717,,,,,
,3,5-Oct,,,106.7,106.7,,32.690947,,,,,
,3,5-Nov,,,104.6,104.6,,40.6180489,,,,,
,3,5-Dec,,,101.2,101.2,,40.731305,,,,,
,3,6-Jan,,,101.9,101.9,,42.394343,,,,,
,3,6-Feb,,,104,104,,40.8291206,,,,,
,3,6-Mar,,,104,,,43.1220448,,,,,
,3,6-Apr,,,105.7,,,42.0489317,,,,,
,3,6-May,,,108.4,,,38.8035315,,,,,
,3,6-Jun,,,108.2,,,43.794564,,,,,
,3,6-Jul,,,112.9,,,37.936813,,,,,
,3,6-Aug,,,117.6,,,40.6941942,,,,,
,3,6-Sep,,,114.4,,,38.993476,,,,,
,3,6-Oct,,,116.3,,,32.4794796,,,,,
,2,6-Nov,,,125.7,,,34.0573294,,,,,
,2,6-Dec,,,133.3,,,42.444643,,,,,
,2,7-Jan,,,132.4,,,41.429004,,,,,
,2,7-Feb,,,134.1,,,39.140962,,,,,
,2,7-Mar,,,136.8,,,38.785941,,,,,
,2,7-Apr,,,150,,,32.9670242,,,,,
,2,7-May,,,161.5,,,33.8809579,,,,,
,2,7-Jun,,,168.9,,,37.3340752,,,,,
,2,7-Jul,,,174.5,,,40.324798,,,,,
,2,7-Aug,,,180.3,,,38.860202,,,,,
,2,7-Sep,,,187.9,,,39.077336,,,,,
,2,7-Oct,,,199.4,,,32.8333966,,,,,
,2,7-Nov,,,217.8,,,29.506417,,,,,
,2,7-Dec,,,220.6,,,34.2781286,,,,,
,2,8-Jan,,,245,,,41.0846085,,,,,
,2,8-Feb,,,269.6,,,41.7343793,,,,,
,2,8-Mar,,,282.1,,,33.983957,,,,,
,2,8-Apr,,,271,,,40.7653384,,,,,
,2,8-May,,,275.1,,,40.2000125,,,,,
,2,8-Jun,,,284.9,,,40.9569876,,,,,
,2,8-Jul,,,266.7,,,29.7370384,,,,,
,1,8-Aug,,,221.6,,,42.3145826,,,,,
,1,8-Sep,,,198.3,,,40.719876,,,,,
,1,8-Oct,,,150.7,,,45.058699,,,,,
,1,8-Nov,,,133.1,,,36.0152959,,,,,
,1,8-Dec,,,127.5,,,28.3417852,,,,,
,1,9-Jan,,,134.3,,,40.3233152,,,,,
,1,9-Feb,,,132.8,,,26.23665,,,,,
,1,9-Mar,,,131.8,,,29.936516,,,,,
,1,9-Apr,,,151.3,,,39.724911,,,,,
,1,9-May,,,171.5,,,29.7799109,,,,,
,1,9-Jun,,,162.7,,,42.192308,,,,,
,1,9-Jul,,,146.1,,,41.255775,,,,,
,1,9-Aug,,,159.1,,,41.354813,,,,,
,1,9-Sep,,,151.4,,,33.863792,,,,,
,1,9-Oct,,,154.8,,,40.8293328,,,,,
,1,9-Nov,,,165,,,32.7522292,,,,,
,1,9-Dec,,,173.4,,,41.210688,,,,,
,1,10-Jan,,,173,,,39.7209346,,,,,
,1,10-Feb,,,173.4,,,39.4091322,,,,,
,1,10-Mar,,,178.6,,,34.036596,,,,,
,2,10-Apr,,,176.9,,,41.2754412,,,,,
,2,10-May,,,173.3,,,44.8830123,,,,,
,2,10-Jun,,,171.8,,,32.888088,,,,,
,2,10-Jul,,,178.9,,,39.0181834,,,,,
,2,10-Aug,,,197.5,,,32.662413,,,,,
,2,10-Sep,,,202.8,,,40.3691886,,,,,
,2,10-Oct,,,225.6,,,41.3250963,,,,,
,2,10-Nov,,,248.5,,,41.1329073,,,,,
,2,10-Dec,,,268.9,,,40.720822,,,,,
,2,11-Jan,,,284,,,40.7424455,,,,,
,2,11-Feb,,,286.5,,,29.675793,,,,,
,2,11-Mar,,,265.4,,,42.9900048,,,,,
,2,11-Apr,,,265.2,,,39.038957,,,,,
,2,11-May,,,264.7,,,47.5430205,,,,,
,2,11-Jun,,,261,,,41.749893,,,,,
,2,11-Jul,,,253.4,,,42.184987,,,,,
,2,11-Aug,,,246.4,,,41.2074837,,,,,
,2,11-Sep,,,240,,,40.8174284,,,,,
,2,11-Oct,,,223.7,,,40.774139,,,,,
,2,11-Nov,,,235.4,,,25.727259,,,,,
,2,11-Dec,,,228.1,,,38.5295614,,,,,
,2,12-Jan,,,235,,,37.6740257,,,,,
